PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00xGN,r2q1rk1/ppp1nppp/3b4/1B6/3QP3/2N2b2/PPP2PPP/R1B2RK1 w - - 0 10,g2f3 d6h2 g1h2 d8d4,1087,79,100,69,discoveredAttack kingsideAttack,https://lichess.org/g17XFBDp#19,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation
00yHW,8/1p4r1/PR6/6pk/8/6PP/6K1/8 b - - 0 40,b7a6 g3g4 h5h4 b6h6,1110,76,100,243,endgame mate,https://lichess.org/jJ4ZSQGJ/black#80,
00yLn,2k1b3/pp6/2p1N1p1/2P2p2/3K4/P4r2/8/R7 b - - 1 31,e8f7 e6g5 f7d5 g5f3,1306,100,100,78,endgame fork,https://lichess.org/JgcSpYyU/black#62,
00ySR,2r1rk2/pp1R3p/1b4p1/6B1/4p2P/1B6/PP3PP1/6K1 b - - 0 31,c8c7 g5h6,1434,75,100,352,endgame mate,https://lichess.org/kReszzMZ/black#62,
00zUZ,r1q2rk1/1p1b1pbp/p2p2n1/2p2N2/P3PR2/2NP2QP/1PP3BK/R7 b - - 4 20,g6f4 g3g7,1235,84,100,77,kingsideAttack mate,https://lichess.org/z7BskeaK/black#40,
01244,4r1k1/5ppp/n1R2b2/1B3P2/2Q2p1P/pP2qP2/P1P5/1K5R w - - 3 28,b5a6 e3e1 h1e1 e8e1,677,86,100,450,mate,https://lichess.org/IPXRSTGY#55,
016e7,6r1/p6p/1p1ppk1r/4Np2/2PPnp2/7P/PP2RPPK/3R4 w - - 0 31,e5d3 f4f3 g2f3 e4g5,1910,173,100,10,endgame,https://lichess.org/bLngQf8j#61,
019iU,1n6/1P2k3/p2Rbpp1/2P1p2p/P1P1P2P/4BPP1/6K1/8 w - - 2 41,d6a6 b8a6 c5c6 e7d6,1585,212,100,12,endgame,https://lichess.org/v6TMzcJH#81,
01BDz,6k1/pp6/6p1/5pN1/b1r5/7P/3R2P1/7K b - - 1 37,c4c7 d2d8 g8g7 g5e6 g7f6 e6c7,958,86,100,40,endgame fork,https://lichess.org/NoSKLr2U/black#74,
01D3S,6k1/pp4pp/r2P4/5q2/2PR4/B2RK1Pb/P6P/8 b - - 3 32,h3g2 d6d7 a6e6 e3d2 f5a5 d2c2,2215,89,100,41,defensiveMove endgame,https://lichess.org/XNZkP9zx/black#64,
01DXj,8/pR6/8/P7/2Pb1rk1/1P1K4/8/8 b - - 0 39,d4g1 b7g7 g4f5 g7g1,823,76,100,127,endgame,https://lichess.org/kyzVQnHB/black#78,
01DvO,r1r3k1/1QP1qpp1/7p/R3P3/6PP/6K1/p7/B7 b - - 4 42,a8a5 b7c8 g8h7 c8b7,1473,189,100,11,defensiveMove endgame,https://lichess.org/uQpGLSZy/black#84,
01HXY,8/8/1p1P1k1K/1p6/pP6/P7/8/8 w - - 0 42,h6h5 f6e6 d6d7 e6d7,855,77,100,168,endgame,https://lichess.org/THUPRnRv#83,
01I0q,2k2n1r/prp3pp/8/Q1RP4/2N1Pq2/P7/1P3PPP/5RK1 w - - 3 28,f1c1 f4c1 a5e1 c1e1,615,79,100,178,kingsideAttack mate,https://lichess.org/sFXEAJ3W#55,
01J8c,r1bqk2r/pp2bpp1/2p1pn1p/4N3/3PNQ2/2P3P1/PP3PBP/R3K2R b KQkq - 4 13,f6e4 f4f7,858,76,100,191,mate,https://lichess.org/p8782uZk/black#26,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
01KyF,5rk1/6bp/1p2p1p1/1Pp5/2P4q/4NQ1P/5PP1/1R4K1 w - - 0 32,f3c6 h4f2 g1h1 f2e3,1183,77,100,136,endgame fork,https://lichess.org/dyxvNO3Q#63,
01M89,8/2p5/1p2B3/p7/5r2/P4pN1/1PP4k/1K4R1 w - - 1 59,g3e2 f3e2 g1e1 f4f1 b1c1 f1e1,1232,76,100,581,endgame pin,https://lichess.org/XOFOkMQr#117,
01NVd,8/1K3Npk/5n2/R6p/7r/p7/8/8 b - - 1 48,h4h3 f7g5 h7g6 g5h3,915,79,100,149,endgame fork,https://lichess.org/acDgVv4Q/black#96,
01Npb,8/8/2p3p1/2P2p1b/3Bk2K/4P3/7P/8 w - - 15 41,h4g5 f5f4 e3f4 e4d4 f4f5 g6f5,1951,76,100,97,deflection endgame,https://lichess.org/Q1lmmoFb#81,
01OTB,8/8/3R2k1/6P1/1p3K2/8/8/1r6 b - - 3 59,g6h5 d6h6,894,79,100,68,endgame mate,https://lichess.org/Tk895nNl/black#118,
01OgB,r3r1k1/1ppQ1pp1/1p5p/1P6/3P4/2P5/3B1PPP/5qK1 w - - 0 22,g1f1 a8a1 d2c1 a1c1,889,76,100,906,endgame mate,https://lichess.org/3ASaJgPf#43,
01QcQ,4r1k1/2p1qpp1/3b3p/pP1p4/P2P4/7P/2QB1PP1/R3r1K1 w - - 0 33,a1e1 e7e1 d2e1 e8e1,1092,190,100,8,endgame kingsideAttack mate,https://lichess.org/h6N2W0kY#65,
01Qta,6r1/8/p1p1k3/P1B3pr/1P2ppRP/2P5/7K/6R1 w - - 2 44,g4g5 h5h4 h2g2 g8g5,1259,75,100,153,endgame,https://lichess.org/GnRDQgRO#87,
01RPd,1R6/4P1k1/6p1/6P1/2p1b3/2Pn2pP/r7/6K1 w - - 0 38,e7e8q a2a1 b8b1 a1b1,1094,76,100,62,endgame mate,https://lichess.org/ibPP9sZo#75,
01RuT,8/8/8/1P5R/4bk2/4R2P/5P2/r5K1 w - - 1 43,g1h2 a1h1,444,94,100,152,endgame mate,https://lichess.org/PRrBTjsl#85,
01UT5,5r1k/1p4qp/2b1prp1/3p2Q1/p4P1R/3B2P1/2P4P/1R4K1 b - - 0 30,g7e7 d3g6 e7c5 g1f1 f6g6 g5g6,1719,273,100,10,pin,https://lichess.org/W7oprEjU/black#60,
01V6d,8/3k4/2Rn2p1/4pp1p/4P3/4KPPP/8/8 w - - 1 46,c6b6 d6c4 e3d3 c4b6,796,77,100,184,endgame fork,https://lichess.org/6rMZ8iNJ#91,
01VFl,8/7R/4k3/6Pp/4p1nP/6K1/P4r2/8 b - - 1 45,e6f5 h7f7 f5e6 f7f2,1016,76,100,186,endgame,https://lichess.org/W5uoHo6C/black#90,
01Wpf,4rrk1/pbp3pp/3q4/2P2p2/5b2/P1Q2N1P/6PN/R4R1K b - - 0 27,d6c6 c3c4 f8f7 c4f4,1466,76,100,206,fork,https://lichess.org/TrexH5VK/black#54,
01Y0b,2q1rbk1/5p1p/2p2np1/3p1P2/1p1P4/3BP2P/1PQ1NP2/6RK w - - 0 24,f5g6 c8h3,727,77,100,101,kingsideAttack mate,https://lichess.org/iBRudAA1#47,
